,week,spend,year,holidays,weekofyear,linear,linear_1,merchant_index,merchant,category,subcategory
0,2015-12-27,2837.69,0.0,0.0,52.0,0.0,0.0,1001,heritage_dairy,Grocers,Specialty Grocers
1,2016-01-03,9229.42,0.16666666666668561,0.0,53.0,0.003215434083601286,1.0339016345984843e-05,1001,heritage_dairy,Grocers,Specialty Grocers
2,2016-01-10,9412.53,0.16666666666668561,0.0,1.0,0.006430868167202572,4.1356065383939374e-05,1001,heritage_dairy,Grocers,Specialty Grocers
3,2016-01-17,10885.0,0.16666666666668561,0.0,2.0,0.00964630225080386,9.30511471138636e-05,1001,heritage_dairy,Grocers,Specialty Grocers
4,2016-01-24,10392.08,0.16666666666668561,0.0,3.0,0.012861736334405145,0.0001654242615357575,1001,heritage_dairy,Grocers,Specialty Grocers
5,2016-01-31,10932.33,0.16666666666668561,0.0,4.0,0.01607717041800643,0.00025847540864962107,1001,heritage_dairy,Grocers,Specialty Grocers
6,2016-02-07,11071.72,0.16666666666668561,0.0,5.0,0.01929260450160772,0.0003722045884554544,1001,heritage_dairy,Grocers,Specialty Grocers
7,2016-02-14,10277.24,0.16666666666668561,0.0,6.0,0.022508038585209004,0.0005066118009532573,1001,heritage_dairy,Grocers,Specialty Grocers
8,2016-02-21,12348.14,0.16666666666668561,0.0,7.0,0.02572347266881029,0.00066169704614303,1001,heritage_dairy,Grocers,Specialty Grocers
9,2016-02-28,11876.82,0.16666666666668561,0.0,8.0,0.028938906752411574,0.0008374603240247722,1001,heritage_dairy,Grocers,Specialty Grocers
10,2016-03-06,13312.01,0.16666666666668561,0.0,9.0,0.03215434083601286,0.0010339016345984843,1001,heritage_dairy,Grocers,Specialty Grocers
11,2016-03-13,11811.39,0.16666666666668561,0.0,10.0,0.03536977491961415,0.001251020977864166,1001,heritage_dairy,Grocers,Specialty Grocers
12,2016-03-20,12504.99,0.16666666666668561,0.0,11.0,0.03858520900321544,0.0014888183538218176,1001,heritage_dairy,Grocers,Specialty Grocers
13,2016-03-27,11310.869999999999,0.16666666666668561,0.0,12.0,0.04180064308681672,0.0017472937624714384,1001,heritage_dairy,Grocers,Specialty Grocers
14,2016-04-03,13084.34,0.16666666666668561,0.0,13.0,0.04501607717041801,0.002026447203813029,1001,heritage_dairy,Grocers,Specialty Grocers
15,2016-04-10,12378.970000000001,0.16666666666668561,0.0,14.0,0.04823151125401929,0.0023262786778465894,1001,heritage_dairy,Grocers,Specialty Grocers
16,2016-04-17,14048.2,0.16666666666668561,0.0,15.0,0.05144694533762058,0.00264678818457212,1001,heritage_dairy,Grocers,Specialty Grocers
17,2016-04-24,12433.17,0.16666666666668561,0.0,16.0,0.05466237942122187,0.00298797572398962,1001,heritage_dairy,Grocers,Specialty Grocers
18,2016-05-01,11620.06,0.16666666666668561,0.0,17.0,0.05787781350482315,0.003349841296099089,1001,heritage_dairy,Grocers,Specialty Grocers
19,2016-05-08,12511.41,0.16666666666668561,0.0,18.0,0.06109324758842444,0.0037323849009005283,1001,heritage_dairy,Grocers,Specialty Grocers
20,2016-05-15,12670.57,0.16666666666668561,0.0,19.0,0.06430868167202572,0.004135606538393937,1001,heritage_dairy,Grocers,Specialty Grocers
21,2016-05-22,13247.01,0.16666666666668561,0.0,20.0,0.06752411575562701,0.004559506208579317,1001,heritage_dairy,Grocers,Specialty Grocers
22,2016-05-29,14432.65,0.16666666666668561,0.0,21.0,0.0707395498392283,0.005004083911456664,1001,heritage_dairy,Grocers,Specialty Grocers
23,2016-06-05,12618.6,0.16666666666668561,0.0,22.0,0.07395498392282958,0.0054693396470259815,1001,heritage_dairy,Grocers,Specialty Grocers
24,2016-06-12,14876.49,0.16666666666668561,0.0,23.0,0.07717041800643087,0.00595527341528727,1001,heritage_dairy,Grocers,Specialty Grocers
25,2016-06-19,13824.3,0.16666666666668561,0.0,24.0,0.08038585209003216,0.006461885216240527,1001,heritage_dairy,Grocers,Specialty Grocers
26,2016-06-26,13297.69,0.16666666666668561,0.0,25.0,0.08360128617363344,0.006989175049885754,1001,heritage_dairy,Grocers,Specialty Grocers
27,2016-07-03,13616.19,0.16666666666668561,0.0,26.0,0.08681672025723472,0.007537142916222949,1001,heritage_dairy,Grocers,Specialty Grocers
28,2016-07-10,14720.23,0.16666666666668561,0.0,27.0,0.09003215434083602,0.008105788815252117,1001,heritage_dairy,Grocers,Specialty Grocers
29,2016-07-17,15196.800000000001,0.16666666666668561,0.0,28.0,0.0932475884244373,0.008695112746973252,1001,heritage_dairy,Grocers,Specialty Grocers
30,2016-07-24,14560.64,0.16666666666668561,0.0,29.0,0.09646302250803858,0.009305114711386358,1001,heritage_dairy,Grocers,Specialty Grocers
31,2016-07-31,14114.12,0.16666666666668561,0.0,30.0,0.09967845659163987,0.009935794708491435,1001,heritage_dairy,Grocers,Specialty Grocers
32,2016-08-07,15336.41,0.16666666666668561,0.0,31.0,0.10289389067524116,0.01058715273828848,1001,heritage_dairy,Grocers,Specialty Grocers
33,2016-08-14,15920.38,0.16666666666668561,0.0,32.0,0.10610932475884244,0.011259188800777493,1001,heritage_dairy,Grocers,Specialty Grocers
34,2016-08-21,15206.72,0.16666666666668561,0.0,33.0,0.10932475884244373,0.01195190289595848,1001,heritage_dairy,Grocers,Specialty Grocers
35,2016-08-28,18475.18,0.16666666666668561,0.0,34.0,0.11254019292604502,0.012665295023831433,1001,heritage_dairy,Grocers,Specialty Grocers
